address,amount
0x0022748A285446D406999867402E04B003580E87,0.0
0x0022ADd4863ED02a2C2C294199BF78484B940953,0.0
0x002344F3C01b32771936403d2E531c1B4018ECc6,9.6e+17
0x00242e439aCA4bFc9CD7A328306B5e816E366cBa,0.0
0x002540555B13eD2405A02b68c973875C9D77e806,0.0
0x0025befed0d57A11dB1dC26A80e651Bb38C97027,0.0
0x002634138df55C22366737d425F3B30F81F4299B,0.0
0x00286d6391F19509D0De164e67a5e76F67B44FFf,3217420548669440.0
0x00295064272701C3855E980a2111B8d78a50686a,0.0
0x00299D5FcaE2ffa1cA4164D799D5C56Ceb5299c8,86705052672.0
0x002C6DaB31e51aC328a7a25DfF67264a535446f0,0.0
0x002D81DC4891B9a25eecB64e6ec79335c95a1b16,0.0
0x002F5a1947d7c627C9aA1683B7b943857671F018,0.0
0x002a59286E28A667F90C550CB0c3D0492feC8075,0.0
0x002bc879eCF65cf7ec66E02456547120e72aa11a,0.0
0x002c105CF0A3e1d1404C4B61B48Fc028Ee5c1132,0.0
0x002c1ED59FAecF2ABd504e72389Ce893675F0d5E,0.0
0x002e7ADAf6495f2DD277b3b8b105db530dF37aB9,0.0
0x002e843f85521c4e48e667185663902a7A3a9C10,0.0
0x002eaa7BC5695676907C1f36DBEA607EF23e1456,0.0
0x00314A4d0eB5D680dE3fE1AB612fDb777384Bb4F,0.0
0x00317Fd710f1eb7106250C664E924aDdb81c3f9B,0.0
0x00336cD9F823dd8B5C5741638E5038FD561F01B9,0.0
0x0033fE8eF224788655dF5d976D862C07B4384928,2819120543232.0
0x003603352478fd9f09a844C34B2A35b5Df0eF7c5,0.0
0x003658466DA6b72E2E18B4313FaCb6da87654aa8,0.0
0x00371476c9Ac9191E535E74df8B9eeA2033b42b0,0.0
0x0037dD60F7a4393587b6dcE2c6dDDd4508D38E32,0.0
0x003814A176D587C13c8efE04cBD7790418388C60,0.0
0x003889a8B8E85C73862547286E3c89dF5E28450b,0.0
0x00397D81c4b005e86Df0492fd468891AD2153377,0.0
0x00399a232F7CfA9E19279c6e23b61719757e0128,0.0
0x0039B0626e7E1E7E163bc714B69B490c22B75eA6,0.0
0x003F6b20BFA4B5cAb701960eCF73859Cb3c095Fc,0.0
0x003F6e29Dc1F78a1657d53fD22f2b69eD248ed78,0.0
0x003b8292760aE87F3F7c7B40b4Cd2cC0F30245f7,0.0
0x003c40aE6bE2891d14eD6e19dC1D47bb9462b8d0,0.0
0x003d071581978D3AEA28faf82947dB95fbbA285b,0.0
0x003dfd836b5AecC95F0E42F1E1F21879C31E8F46,0.0
0x004036d02caEbf26c6fC44F4f89D2c64Dc3ed255,0.0
0x00415D436B8495d7f682a2f50e54d1E49d1d967A,2e+18
0x004193928645E0c0eA079C11F31B4Dd95bB8b77D,0.0
0x0041F02345C13CB0500239b3d77f5c67aCf3891F,0.0
0x0042C158174c5b941029616Ed6C51827733c56d0,0.0
0x00431a8c45f40D96507efB7D316d2567A71b0222,0.0
0x0045fa93DEDB0af02956f7D7C306b34263688872,0.0
0x0047339F4D6f3b3cD753aF234208d6aeCbEf2D62,3.467889235852923e+17
0x0047837a1CBbff935274D6A067e4e86c0b7a473C,0.0
0x0049627Af5a6bF1D66899455002b1d849C69A4E9,0.0
0x004CB2b2F7aA0D47C14c944358E11BFEE001e38C,0.0
0x004CFa940834389e5278FD84DaE6e5aDfd44E8ec,2.417012628364016e+19
0x004D267c3b7DFC4aA6273c06F955B6994A750f6E,0.0
0x004e13bD013F264164d994DEbdA22a01473da5DB,0.0
0x005067f75013AE7897Ad11d481c8aCEd3FBc4126,0.0
0x0050c79eC6DBEfd58B29b9a7f4A85D17B12a6A33,1.0244181220359365e+19
0x0052Ab78F7bcAC7872F2d1e17623ad8B0F16Ec8f,0.0
0x0053180902292Ba7efcD9e684c5F42a72d1C0e9C,0.0
0x0053F98aD07AeBdBAd20235d85fB395b11B4bB00,1.8127652000703206e+17
0x00542c33E50f6d92F2d7661E4318F89e4191F5E3,0.0
0x005430E2B2Ca552EFef1BffcF9915942637D2C04,0.0
0x005493ABB4dCf3968A6F866DF0e50bbC147e9493,0.0
0x0054d00Eb20671493117c8753C1De22dC79a6E7B,0.0
0x005538a3A0b61904827635776e06A46E314819e9,0.0
0x0058f283cCdcF5FFc6b12eBdF967989c732a2735,0.0
0x0059d3E11Fa244e240A78F2f73550223da4e0aEc,0.0
0x005C402E19c485E6d716AE2D6eCb4944e8d15581,0.0
0x005C60D0c4739b6FAFA680258FD631489b3AcE27,0.0
0x005CE465C88584d8Ec85A810137a8c45a2722772,0.0
0x005c0A350C3f80780169Ce2E3264E989EDb25158,9470597199356672.0
0x005c5E92a84DBde0BEa543c176A3BA31FDD4467D,0.0
0x005f211Ce3c40F91da69208A7F6a6c48b85Cc67C,0.0
0x005fa16b818E06AF2BAB576F8457faB691108F19,0.0
0x0065A015B7f1F418F7aEb459d07A84452F339d8d,0.0
0x0066023b24Edd70B7dEf47EFfbF2fd7617F9c66b,0.0
0x0066c1c48D9a1dACA284aA18Efaa3d90e1221E20,0.0
0x0067723C0F227a4411ffA49549BC0119446d6b75,0.0
0x00679C267188EdebE217DF76a54AEc8D6494bd60,0.0
0x0068BBF6cDAF03C70A420Ca666762da7709030bD,0.0
0x0068e91105B0D2c52de69c6eFB6329B66B1cDac5,0.0
0x0068fFDBDa6d9f56d837fdc1d449118b1de73163,0.0
0x006925C153bE25E2981BA44B81658B2e209A8065,0.0
0x0069dBaf9E11B33542d40e65316E9B48497B177e,0.0
0x006aD01bcAD5e7a7cBF20E69400625d5a2E880A4,0.0
0x006b18FbF15af018505e3AAC714f5A85c8f3a8dF,0.0
0x006c45e323f7187c2f307E207D230137Bd1A0f75,0.0
0x006cFB3Ecc79359d74B7Eb05Cc5ca8ea9016BA3B,0.0
0x006f2A0f61Afb0371c235A2F551D40b51406930c,0.0
0x0070f245c6Aea2400b883C81f81F4f57eE505566,0.0
0x0070f28dd76A96806BFbEedd8F5a8F976C6814C3,0.0
0x00713B8E83aA29fcE4BE91D898437BDb9e5DF760,0.0
0x007189853c32eB23d4C4790377Af397723a09E01,0.0
0x0071FA112B2DEe247d331ee1832945b5ABCBa52c,0.0
0x00723e8204a0eb225869c65C559b196E9d10BF3B,0.0
0x0072dC2985348Dc97dF2bB128928AE3dAa991Ea3,0.0
0x0074073386a1E53AC6a5eE0c1A1678677aC31B89,0.0
0x0077DfF1347006287dc6396074D5FA48C0E644C7,0.0
0x0078A70FdAb38E8E910faCb87A122ABDdbA187e8,68688333389824.0
0x00798709B7e522a82199EA2AFD47d7D3f299408a,0.0
0x007D1CBA9690603ec28B10EDF2fb89DF9006121C,0.0
0x007Ec565A66A3aaaBE0CB9b35252bEAa9c02B1F9,0.0
0x007cB716c24D4BecF3143a8F6BA7418ccC05A544,0.0
0x007eB47DaD3BAF105039A42bB1eEe6eA2507ec61,0.0
0x008065EA61a0698025c0ccCcd8B6F08cbc91bc66,47642328825856.0
0x0087625b0112Cbb16179921B59C82Fe161EBD07f,0.0
0x0087F5e44990f26eab9AD7e2f65BbCd97ce36760,0.0
0x008E7C9979e71FA0B9d9EF369394b777ff50C719,0.0
0x008aaAbC50e14e5c414986dde0F8749a15bec55E,0.0
0x008b09c232B799d6B39d45f18C571F9A25c93aD9,0.0
0x008c068BfD922e3Eb7d14E31ECF0Daa1e04f906f,0.0
