address,amount,event,timestamp,year,month
0x9D730c0A844552AAa68Cb52bF69f2e4f6E61139a,8.084256545305611e+19,Staked,2021-06-30 19:26:48,2021,6
0xA626Bf6939470aE702D58f7378b3c52b70B7609c,3.1728325783497854e+20,Staked,2021-06-30 19:26:55,2021,6
0xD5b88Cc148a41cC431999Aba56Df961336BBC1D8,3.5e+19,Staked,2021-06-30 19:37:36,2021,6
0xC4Ef28465b1a776566F119715e4698d561bf4B9C,2.2848220526773954e+20,Staked,2021-06-30 19:39:57,2021,6
0xD6215aA5266880aF67a883512d026bbe4d7467c9,9.195825556878094e+18,Staked,2021-06-30 19:41:24,2021,6
0x18d7A39aa6ac5F60DEF0c529c38c572Fd910c72b,6.5e+19,Staked,2021-06-30 19:47:01,2021,6
0xc25C0092307A5b8afd8A4bD01351A92579040951,4.0506786391617117e+20,Staked,2021-06-30 19:47:01,2021,6
0xf9Bffc50E6dEa6dc06433D5325b1906dE0e7938f,5.25e+18,Staked,2021-06-30 19:47:18,2021,6
0x1EFe4Fe91E79B6490B717228A9A6fe30A1c5A2B1,5.311685501190266e+19,Staked,2021-06-30 19:47:50,2021,6
0x18d7A39aa6ac5F60DEF0c529c38c572Fd910c72b,6.58051853114104e+19,Staked,2021-06-30 19:48:56,2021,6
0x2057B7bd1Ff15bEF5B50eC8DEd3DdEEcD80bCB5b,1.613589708187797e+20,Staked,2021-06-30 19:51:08,2021,6
0x94a26eCabf6232069512Bf36Db183691c83184c6,1e+20,Staked,2021-06-30 19:52:21,2021,6
0x23F05902Db7c8cF60A1e7162755ebB11ed5EE9d5,4.11e+18,Staked,2021-06-30 19:52:38,2021,6
0xca690fFa9C7F2B233087098521A9770851d8AB8D,1e+18,Staked,2021-06-30 19:53:30,2021,6
0xF9d9EB4CDf653f1315aDC09eFDF9A11385DC0546,4.541347339189442e+20,Staked,2021-06-30 19:54:03,2021,6
0x95eBF2dFD6213F5817c7f5868BD86fC1b854C1B1,2.228412449354711e+20,Staked,2021-06-30 19:55:20,2021,6
0xCfBb29D5Dd75B3182aD1DA5060a9c3d734180be2,3.4925057235762893e+19,Staked,2021-06-30 19:55:23,2021,6
0xa6e2E3b149f7c71a547095B7527D58265Cad990B,3.4e+19,Staked,2021-06-30 19:55:23,2021,6
0x4C1695f54208fb92A8D87AdD8DbEA206B0771872,7.978174071458064e+19,Staked,2021-06-30 19:55:40,2021,6
0x56e43eab9cEa067feAc0Bc716E049Eb53aA63B44,2.374889726309367e+19,Staked,2021-06-30 19:55:40,2021,6
0x63615531D50C1076D9b9c0885a6069D759BF72a2,7.716e+18,Staked,2021-06-30 19:55:54,2021,6
0x92d36907742202626a13F2F02b22f6cC43E44073,5.25e+18,Staked,2021-06-30 19:56:00,2021,6
0x719e67af46316B931FB93961A02E956B6d2dDdf0,1.0061071828228318e+21,Staked,2021-06-30 19:56:08,2021,6
0x11692163D68A652E7A05c4A3ee0a6C02F9DC0393,7.716e+18,Staked,2021-06-30 19:56:17,2021,6
0x07883fc05743A3CBF26585D9740DB1676e2a386f,1.186919553374855e+19,Staked,2021-06-30 19:56:19,2021,6
0x6fAE1AEbB918cf5b3396c4f2D4Ef383032122aDC,1.5e+18,Staked,2021-06-30 19:57:39,2021,6
0x0b4bE40484f1e1E3Dcd0A704e7fAA3010f5267f4,5.5e+19,Staked,2021-06-30 19:58:43,2021,6
0x3Ee3d0cceF50bc9a6Ac43e763180C0c870fd2787,4.926555641527623e+19,Staked,2021-06-30 19:58:43,2021,6
0xEBfAaCd885E18C21f7B8923b4CdDf8a89fEaEF87,4.464131387748633e+20,Staked,2021-06-30 19:59:49,2021,6
0x9Af7Ef4336120F93b0AB54A1C77CbBBF5E8c6F4E,2.23592e+19,Staked,2021-06-30 19:59:53,2021,6
0x6422E2AD6996f7006D125ca960a06C13C0720267,8.017350891522466e+19,Staked,2021-06-30 20:00:39,2021,6
0xf26C285B4AdAb350e7E46144CdEF01D4Ad2E46Ae,1e+18,Staked,2021-06-30 20:04:54,2021,6
0xc5A8491DFfA200a15C7d91141cF136764143A674,5.25e+18,Staked,2021-06-30 20:07:39,2021,6
0x04c95C6F8EA7Ff7c3F7a2F148Fae75650c5A875E,7e+19,Staked,2021-06-30 20:07:53,2021,6
0x806Bf75BF3A61b147291d4f285835CB8d312F998,3.5028830206170064e+20,Staked,2021-06-30 20:07:53,2021,6
0xA9faD5A2DA799b5D9b12D1aAbd15421cA17A19C1,3.808734637219601e+19,Staked,2021-06-30 20:08:03,2021,6
0xf137585b3C6dC5d46C8ec24610492aD0CEfC46E7,1.1756e+21,Staked,2021-06-30 20:08:14,2021,6
0x22c7F2E36028D8BEBe75b2BB5eB60be3C279657f,1.01301835260866e+19,Staked,2021-06-30 20:08:27,2021,6
